2019-03-18 13:18:56.3860 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 13:18:56.9609 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 13:30:25.9679 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 13:30:28.1462 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 13:39:50.0539 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 13:39:52.0901 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 13:43:37.5323 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 13:43:37.7687 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 13:43:46.5507 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 13:43:46.7741 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 13:45:42.2099 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 13:45:42.4343 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 13:55:44.5157 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 13:55:45.5037 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 14:11:34.1963 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 14:11:35.1456 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 16:24:12.6937 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 16:24:14.9027 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 16:31:31.6847 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 16:31:32.6496 | INFO | AspNetApp.Controllers.HomeController | App started
2019-03-18 17:14:15.5026 | INFO | AspNetApp.MvcApplication | Application started
2019-03-18 17:14:17.5240 | INFO | AspNetApp.Controllers.HomeController | App started
